SLFN5	0.00	1.4805803597684087e-09
KCNH3	0.00	3.460523186356345e-11
LGALS1	0.00	2.2876393766314543e-16
SYTL3	0.00	2.4384375507229266e-15
DNAAF3	0.00	4.0232052666861165e-16
CYP24A1	0.00	3.5300176166824452e-09
WNT16	0.00	1.5263633343467133e-15
MIR100HG	0.00	6.815278345737853e-10
CD109	0.00	7.544020701613126e-07
GTSF1	0.00	9.327477802179688e-14
DNAJA4	0.00	2.5798677312246716e-08
TPM2	0.00	6.271442143034152e-14
HAS3	0.00	1.4359340506144188e-11
NTSR1	0.00	3.842361544861501e-19
AXL	0.00	1.421435841393048e-13
ADAM19	0.00	1.2955823362188727e-11
AC104162.2	0.00	9.137761784964654e-10
MSN	0.00	1.0886316366599832e-22
AKAP12	0.00	9.861200294510816e-14
PDLIM3	0.00	3.5071831653831244e-13
LPAR3	0.00	3.2799346603909346e-09
CD163L1	0.00	8.223443158450144e-17
ONECUT3	0.00	2.656796089806568e-13
SLC30A3	0.00	8.923390914658265e-09
STMN3	0.00	2.385597192871825e-16
RGMA	0.00	1.332667879274127e-09
CSPG4	0.00	2.9882065464133496e-17
MCC	0.00	4.684581123700393e-08
DIRAS1	0.00	2.3001747039660965e-12
TNFAIP2	0.00	2.707450119455115e-09
LNCAROD	0.00	6.139263179399391e-16
GABRD	0.00	1.384001662262417e-10
HPCAL4	0.00	1.5663996590772184e-12
CAMK4	0.00	0.00014918592852584636
SYT1	0.00	3.1515482976620045e-06
SNCG	0.00	1.9397039414711124e-15
ITPRIPL1	0.00	3.016911278433218e-11
CNTNAP3B	0.00	1.2260870314909659e-08
FBXL16	0.00	2.183867621707853e-19
RBP1	0.00	3.884992997479167e-19
CHST15	0.00	2.5207817825200514e-09
SPARC	0.00	2.2396615159646364e-09
GNL1	0.96	0.0002034604540412533
GPAT2	0.00	2.0790987453462865e-10
PPP2R2C	0.00	5.879877544601022e-19
PTPRS	0.00	4.646082763434089e-17
RASAL1	0.00	2.2317452415624847e-11
MCAM	0.00	7.985001526519793e-07
SLC38A5	0.00	3.161335007795106e-13
TRIM72	0.00	8.126876703449355e-17
NGEF	0.00	1.3566507875984604e-10
LMX1B	0.00	2.7483824311315816e-10
C16orf45	0.00	3.894854827166536e-09
FCHO1	0.00	3.5285547947375746e-14
DMBX1	0.00	3.4455033282764666e-06
HBE1	0.00	7.816574647855657e-21
ARHGEF10	0.00	3.7824231907975977e-07
RUNX3	0.00	3.326081258531399e-16
OR51B5	0.00	3.0338707233126177e-12
MAP7D3	0.00	1.0330672084510778e-08
DOC2B	0.00	1.222179896354637e-07
CRABP2	0.00	7.582205640736091e-13
DSC3	0.00	7.786662548858955e-06
ATP2A3	0.00	1.1960066097916846e-12
KANK3	0.00	8.405456112728342e-13
RASGEF1A	0.00	2.7681093541376904e-14
LIFR	0.00	1.367795054530135e-05
ALDH1A3	0.00	3.98128197451219e-10
C22orf34	0.00	7.689313325456115e-10
CXorf57	0.00	2.9391150682419247e-07
MAGEA2	0.00	2.806920740834938e-14
KCNG1	0.00	1.226068747499687e-12
GNG7	0.00	7.464078910093115e-16
UNC5A	0.00	1.624814076611178e-13
ADIRF	0.00	1.2293711141211408e-11
SH2D5	0.00	2.437231596369562e-16
DPYSL5	0.00	7.94508612982591e-10
MSRB3	0.00	3.215876855165032e-06
AFAP1L1	0.00	4.092867179062679e-15
AL133325.3	0.00	0.00012499099368789814
CORO6	0.00	5.4909532399058956e-08
DNAH17-AS1	0.00	3.2930169877019213e-10
DDN	0.00	2.266264174781189e-11
AC025419.1	0.00	4.162268974742277e-09
FAM72B	0.00	2.0322295459567744e-07
RASA3	0.00	1.4440408577008654e-19
CRIP2	0.00	3.9469678324772815e-13
VCAN	0.00	1.0424622914504876e-08
LZTS1	0.00	4.115566611024489e-08
NPW	0.00	4.818080047132611e-13
LINC00839	0.00	3.0709978394726417e-10
CACNA1H	0.00	3.617998111862883e-15
KHDC1	0.00	1.824275831550766e-12
DBN1	0.00	3.991869055858139e-15
UPK1A-AS1	0.00	1.6134902460282563e-13
ZNF548	0.00	3.39160093580516e-05
TUBB4A	0.00	1.2276162206004265e-10
AC137932.2	0.00	5.036734865585775e-09
GRIN2D	0.00	3.897937261430288e-20
MMP17	0.00	3.4061155180412064e-17
ROR2	0.00	1.2373062063999526e-13
C1orf61	0.00	9.250514383899244e-08
FKBP1B	0.00	6.997101917981752e-16
SLC45A1	0.00	2.7171241768103943e-11
CST6	0.00	2.5701711679545456e-17
AC108174.1	0.00	1.524295043394246e-09
FHL1	0.00	1.1020150827484915e-09
MYT1	0.00	1.2818059013036065e-06
VAV1	0.00	1.0095784435664265e-16
LAMC3	0.00	4.738484036886493e-08
RNF182	0.00	1.0202500181209448e-09
ADAMTS14	0.00	3.9496764120695295e-10
TNFRSF18	0.00	4.203585429183295e-13
M1AP	0.00	7.807085467710494e-14
ANK1	0.00	4.3658550606302875e-11
S100A5	0.00	6.539851775261276e-12
SEC14L4	0.00	1.4423481650216048e-11
AP000943.2	0.00	2.421139066262489e-05
SLC6A17	0.00	6.620568523707674e-12
ZFP37	0.10	0.0011256370224141136
ZNF512B	0.00	1.4281922295073729e-11
NOS3	0.00	5.256574300529055e-15
ZNF512	0.00	2.8574437530017863e-09
S1PR5	0.00	3.920700572171946e-07
LINC02458	0.00	0.004973343934661242
ESPNP	0.00	1.9447861671953947e-06
LRAT	0.00	0.0004149096118125861
KIF5A	0.00	2.0328374218620556e-07
LINC00698	0.00	2.697616268878243e-07
RNF165	0.00	3.6151738669545234e-08
